gate,observable,control,h_values,fit_exponent,R2,status,notes
Z5K,Schur-corrected gauge defect,generic tilted 24-simplex,"0.09;0.065;0.045",3.99975153,0.9999999951,PASS,"Includes physical-sector pseudoinverse backreaction"
Z8C,Neighboring same-boundary ordering defect,generic algebraic curvature control 1,"0.09;0.065;0.045",6.00025551,0.99999999993,PASS,"48-simplex ordering comparison; same 84-face boundary"
Z8D,Finite-move-normalized neighboring anomaly,generic algebraic curvature control 1,"0.09;0.065;0.045",4.00025551,0.99999999984,PASS,"DeltaS divided by two O(h) tent displacements"
Z8E,Curvature-amplitude scaling,generic algebraic curvature control 1,"A=0.5;1;1.5;2",2.00025031,0.99999999936,PASS,"Ordering defect quadratic in curvature amplitude"
Z7C,Periodic arbitrary-smearing assembly,variable local coefficient,"n=6;8;10;12;16;20",4.00000000,1.0,PASS,"Constant-coefficient test; variable-coefficient tests also ~4"
Z11B,Independent neighboring ordering replication,fresh full-rank algebraic curvature,"0.09;0.065;0.045",6.00303660,0.9999999902,PASS,"Independent Bianchi-satisfying 6x6 curvature operator"
Z11C,Independent finite-move-normalized replication,fresh full-rank algebraic curvature,"0.09;0.065;0.045",4.00303660,0.9999999780,PASS,"Independent curvature control"
Z10G,FK metric structure function,matched adjacent x/y/z tents,"epsilon=1e-4;1e-5;1e-6",,,PASS,"Direct Euclidean normal commutator; g=A^-1 and g^-1=A; exact axis permutation covariance"
FK48-LS,Physically-stationary pseudo-constraint residual,ordinary two-step FK48,"0.09;0.065;0.045",3.99591240,0.9999997755,PASS,"12 physical middle equations solved to ~1e-15; remaining 4 gauge residuals scale h^4"
FK48-H1,On-shell lifted gauge Hessian mode 1,ordinary fully-stationary FK48,"0.09;0.065;0.045",3.99931401,0.9999999992,PASS,"12 physical singular values remain O(1); smallest physical gap ~3.982"
FK48-H2,On-shell lifted gauge Hessian mode 2,ordinary fully-stationary FK48,"0.09;0.065;0.045",3.99932756,0.9999999653,PASS,"Fully stationary 16-equation branch"
FK48-H3,On-shell lifted gauge Hessian mode 3,ordinary fully-stationary FK48,"0.09;0.065;0.045",4.00188064,0.9999998866,PASS,"Fully stationary 16-equation branch"
FK48-H4,On-shell lifted gauge Hessian mode 4,ordinary fully-stationary FK48,"0.09;0.065;0.045",4.00650856,0.9999997083,PASS,"Fully stationary 16-equation branch"
FK48-TR,Fourth-order transversality gauge Jacobian,ordinary physically-stationary FK48,"0.09;0.065;0.045",4.00000000,,PASS,"sigma(J_g)/h^4 tends to about 0.1696;0.1389;0.1068;0.0537; condition number ~3.16"
FK48-KGG,Canonical gauge-to-gauge mixed block norm,ordinary fully-stationary FK48,"0.09;0.065;0.045",4.00027612,0.9999999126,PASS,"Refined 1e-6 central-difference boundary Jacobian; C_h=U_g^T K_h Q_g; four singular values individually ~h^4"
FK48-KGP,Canonical gauge-to-physical mixed block norm,ordinary fully-stationary FK48,"0.09;0.065;0.045",1.99763688,0.9999999471,CONTROL,"Expected physical mixing; demonstrates full mixed row is not O(h^4)"
FK48-LG,Stationary response restricted to boundary gauge directions,ordinary fully-stationary FK48,"0.09;0.065;0.045",-0.00439041,0.97741623,PASS,"||L_h Q_g||=0.33317;0.33351;0.33418, hence bounded"
FK48-LFULL,Full arbitrary-boundary stationary response,ordinary fully-stationary FK48,"0.09;0.065;0.045",-2.00648689,0.9999989873,FAIL_EXPECTED,"||L_h||~h^-2; disproves overly strong full-response boundedness assumption"
FK48-CR,Clean-room gauge-projected pseudo-constraint residual,fresh explicit Weyl-free Ricci seed,"0.09;0.065;0.045",4.00021279,0.999999999463,PASS,"Independent public solver reconstructs 24-tet FK star/48 four-simplices/16 internal edges; >99.97% of residual norm lies in four flat gauge directions; not the manuscript seed"
RET,Difference-action boundary derivative,direct adjacent tents,"0.09;0.065;0.045",4.99990758,0.999999999987,RETIRED,"Wrong observable for shift direction; retained for audit"
